Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice,optimal_rate,save_price
spring,2500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.597251661499705, 0.8645180276567324, 0, 0, 0, 2040.8263517052055, 2030.9156703758906, 0, 0, 0, 0, 0, 0]",3479979.6026569395,3525004.1865983824,4044539.185217785,1.2772916444360727,45024.58394144289
spring,3000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1053.5569496134221, 827.1575019387576, 2059.8814901983565, 635.2774700333098, 0, 0, 0, 333.0583664662596, 0, 0, 0]",3377331.4916697848,3421097.186874502,4044539.185217785,1.2792882754874684,43765.69520471711
spring,3500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69.43618385264878, 13.980070526743983, 314.76642408727474, 1539.93521831933, 1902.2211142473975, 0, 0, 1603.9430448135781, 0, 220.6289134765852, 0, 0, 0, 60.54185618843823]",3276215.8497538413,3317190.1871506213,4044539.185217785,1.2352121851649362,40974.33739678003
spring,4000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200.45173292247853, 2129.412561252603, 0, 122.15073752552385, 2059.8814901983565, 0, 2030.9156703758906, 0, 0, 0, 0, 0, 0]",3207004.0683143106,3213283.187426741,4044539.185217785,0.19541132063926742,6279.11911243014
spring,4500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 668.9179733314825, 0, 2115.622652054795, 0, 1658.1572255993515, 0, 2030.9156703758906, 0, 0, 0, 510.3666657315069, 0, 378.31482739726033]",3064337.078673617,3109376.18770286,4044539.185217785,1.4484934054414673,45039.109029243235
spring,5000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1251.263428162866, 0, 1095.470216565855, 0, 1027.1876551401024, 0, 0, 1991.019220893151, 0, 851.1240328767125, 510.3666657315069, 430.6552278465754, 378.31482739726033]",3150613.070788713,3005469.1879789797,4044539.185217785,-4.8293252644301825,-145143.8828097335
spring,1000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166.33617202023294, 0, 1436.3264800797488, 0, 0, 0, 0, 0, 0, 0]",6531744.697374586,6545098.143916623,6752912.143364384,0.2040220978878392,13353.44654203672
spring,1500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2299.0583290774543, 0, 0, 0, 149.26955334189867, 0, 0]",6419625.470878109,6441191.144192742,6752912.143364384,0.33480877731871156,21565.673314632848
spring,2000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1084.595573776252, 0, 0, 2105.5172094142345, 0, 0, 0, 0, 0, 0, 0]",6312676.579284097,6337284.144468862,6752912.143364384,0.38829827768164504,24607.565184764564
spring,2500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 626.5811276764827, 0, 0, 0, 0, 13.002466259180864, 3450.555616438356, 0, 0, 0, 0, 0, 0]",6188472.932332769,6233377.14474498,6752912.143364384,0.720383371156475,44904.21241221111
