Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,2000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1061.1343153244584, 0, 0, 1353.5459506849315, 552.9187423909757, 0, 0, 0, 0, 0, 305.6892017424815, 0, 0]",3076636.1530883014,3103337.268698998,3518965.26759452
spring,2000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1115.2046630288928, 0, 0, 0, 0, 2091.320284931507, 0, 0, 66.76326218245616, 0, 0, 0, 0]",6470274.213034217,6504310.354989409,6919938.353884933
spring,2000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 11.692729468172907, 0, 0, 0, 621.3727209388435, 5.497625004681873e-05, 1189.3258853748353, 8.99440496355182, 1441.9020262123222, 0.0002572974981530724, 0, 0, 0, 0, 0]",3068637.6608556528,3104364.4422003683,3519992.4410958905
spring,2000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1709.0694704168257, 0, 1564.2187397260275, 0, 0, 0, 0, 0, 0]",3814380.9038445903,3850466.6779487818,4266094.676844304
spring,2000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2097.225556779178, 0, 0, 1176.062653363678, 0, 0, 0, 0, 0, 0]",3592825.41221807,3628911.186322262,4044539.185217785
spring,2000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2693.821163567507, 0, 0, 0, 0, 0, 0, 0, 579.4670465753425]",6332026.017242478,6337284.144468862,6752912.143364384
spring,2000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1166.0218520547944, 0, 0, 0, 961.9870684931508, 819.7679342465754, 0, 0, 325.5113553483334, 0, 0]",2533537.350174411,2534463.0500880396,2950091.048983562
spring,2000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 742.0543579088474, 1839.9777860383563, 0, 0, 0, 0, 512.9843504425148, 0, 178.2717157531267, 0, 0]",5258989.814779208,5273854.027651194,5689482.026546716
spring,2000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1274.9533150684933, 0, 0, 815.4626758962805, 1182.8722191780823, 0, 0, 0, 0, 0, 0]",2493325.5018632994,2529411.2759674913,2945039.274863014
spring,2000,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3121914725668187e-05, 996.5892233081379, 0, 0, 2209.935691529863, 0, 0, 0, 0, 0, 0, 66.76326218253973]",4701872.382435665,4734406.349974847,5150034.34887037
