Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
summer,9000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 708.459287671233, 926.1311393975187, 1136.8585271414884, 1528.3923287671232, 1560.9041753424658, 1561.0000438356165, 1568.0481534246576, 1550.5592547945207, 1549.1336547945207, 1538.5952219178084, 127.57281079177702, 0, 0, 4.2564507545418415, 0, 0]",2181444.0457480266,2257974.114976731,4839363.119928391
summer,1000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96.8971164955348, 0, 50.92499945118959, 0, 24.577956853416588, 161.83791271308442, 1182.8722191780823, 11.768800712388868, 0, 0, 0, 0, 0]",3679716.556479521,3727976.9427785836,4014797.943328767
summer,3000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 360.55213620629667, 0, 0, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 418.7675189635176, 35.30637355621706, 2.858094848973956e-05, 0, 0, 0, 0]",3009553.78278103,3154334.9416782144,4014797.943328767
summer,5000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1263.7331506849314, 0, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 141.58231137134445, 8.545964278349429, 0, 0.6971075331713076, 0, 0]",2346942.6803494175,2580692.940577846,4014797.943328767
summer,7000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 24.53564036991653, 501.479466347505, 1261.6175342465756, 1263.7331506849314, 1246.536, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 174.32208040966805, 0.00025849696092791443, 0, 0.09241411963809099, 0, 0]",1925889.402261239,2007050.9394774772,4014797.943328767
summer,9000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 731.5139083847994, 1245.615780821918, 1261.6175342465756, 1263.7331506849314, 1246.536, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 909.3600000000001, 275.93171559094, 0, 595.7664657534247, 0, 0]",1504836.1241730612,1433408.9383771084,4014797.943328767
summer,1000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.5965884992162, 0, 336.31559075493874, 68.22372383023901, 18.368741631285772, 764.2269770601282, 241.3785829154882, 11.68457276819644, 0.08422790181322504, 4.2391139510449126e-08, 0, 0, 0]",7522839.925643904,7571100.311942968,7857921.31249315
summer,3000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2195.4417534246577, 169.88482777255072, 2186.0040328767127, 35.306402137169584, 0, 0, 0, 0, 0]",6852677.151945413,6997458.310842599,7857921.31249315
summer,5000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2114.610425061966, 0, 2203.41895890411, 0, 0, 2181.802389041096, 1085.7192504493628, 58.84400356194915, 0, 0, 0, 0, 0]",6182514.378246923,6423816.30974223,7857921.31249315
summer,7000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 899.0499729116566, 0, 2203.41895890411, 1631.056618909888, 2195.4417534246577, 2181.802389041096, 1509.001739647746, 82.09902334694269, 0.2825816397844346, 0, 0, 0, 0]",5512351.604548432,5850174.308641861,7857921.31249315
