num,weather_condition,best_position,best_fitness,before_price,before_optimal,optimal,optiaml_per
32,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2446.835294117647, 0, 2445.1530352941177, 357.9207043820792, 2418.5799529411765, 2405.276894117647, 0, 0, 0, 0]",4790548.889332469,6176238.041985882,4911359.652296877,120810.76296440791,2.4598231756028865
32,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2435.633788235294, 2418.5799529411765, 2405.276894117647, 416.4821161466573, 2397.7931294117648, 0, 0]",4787508.900746489,6176238.041985882,4911359.652296877,123850.75155038759,2.521720263195687
32,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2446.835294117647, 2448.075388235294, 2445.1530352941177, 0, 2418.5799529411765, 315.1222102644053, 0, 0, 0, 0]",5873742.817456995,8084077.423538825,6203870.636687195,330127.8192301998,5.321320165477931
32,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 357.9207043800884, 0, 0, 0, 2446.835294117647, 0, 2445.1530352941177, 0, 2418.5799529411765, 2405.276894117647, 0, 0, 0, 0]",5863007.379107585,7831421.232225884,6200893.411773377,337886.0326657919,5.448989528255104
33,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2697.6824470588235, 0, 2693.151529411765, 2682.275294117647, 0, 1953.4065491357267, 47.25005973133491, 0, 0, 0, 0]",5257486.2730638515,6646215.40517647,5381337.015487464,123850.74242361262,2.3014864534068527
33,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2020.2902878868897, 0, 140.6018571005438, 2682.275294117647, 2613.417035294118, 2569.917176470588, 47.14717730095753, 0, 0, 0, 0]",5257486.257504579,6646215.40517647,5381337.015487464,123850.75798288547,2.3014867425408134
33,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2697.6087529411766, 0, 0, 2613.417035294118, 2254.6192455574205, 0, 0, 2508.1208470588235, 0, 0]",6515843.415883778,8726178.030268235,6845971.2434166055,330127.82753282785,4.822220482598341
33,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2497.7971279115204, 0, 0, 0, 0, 0, 2569.917176470588, 0, 2514.849882352941, 0, 0, 2491.201694117647]",6469891.140255553,8438304.993374117,6807777.172921613,337886.03266606014,4.9632357828929
35,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215.5950418498881, 2285.6843948458823, 2314.4397077823533, 0, 2112.322246309412, 1816.736851682353, 1281.7389176470588, 0, 0, 0, 0, 0]",2252194.723194082,3637181.5528178327,2372303.163128827,120108.43993474497,5.062946498639496
35,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2285.6843948458823, 1459.7166160149625, 2254.5296653682353, 0, 1816.736851682353, 1281.7389176470588, 975.3594352941176, 0, 0, 0, 0]",2257443.279066354,3637181.5528178327,2372303.163128827,114859.88406247273,4.841703448685041
