"시점","항목","시간대별",데이터
"2019","1월","20시",1299
"2019","1월","21시",1299
"2019","1월","22시",1281
"2019","1월","23시",1213
"2019","1월","24시",1096
"2019","2월","1시",964
"2019","2월","2시",852
"2019","2월","3시",791
"2019","2월","4시",763
"2019","2월","5시",757
"2019","2월","6시",777
"2019","2월","7시",854
"2019","2월","8시",975
"2019","2월","9시",1037
"2019","2월","10시",1032
"2019","2월","11시",1009
"2019","2월","12시",988
"2019","2월","13시",974
"2019","2월","14시",948
"2019","2월","15시",927
"2019","2월","16시",926
"2019","2월","17시",961
"2019","2월","18시",1065
"2019","2월","19시",1231
"2019","2월","20시",1291
"2019","2월","21시",1291
"2019","2월","22시",1277
"2019","2월","23시",1211
"2019","2월","24시",1098
"2019","3월","1시",963
"2019","3월","2시",847
"2019","3월","3시",788
"2019","3월","4시",762
"2019","3월","5시",759
"2019","3월","6시",784
"2019","3월","7시",883
"2019","3월","8시",1045
"2019","3월","9시",1057
"2019","3월","10시",1010
"2019","3월","11시",970
"2019","3월","12시",944
"2019","3월","13시",933
"2019","3월","14시",910
"2019","3월","15시",895
"2019","3월","16시",903
"2019","3월","17시",948
"2019","3월","18시",1054
"2019","3월","19시",1219
"2019","3월","20시",1327
"2019","3월","21시",1335
"2019","3월","22시",1319
"2019","3월","23시",1240
"2019","3월","24시",1109
"2019","4월","1시",967
"2019","4월","2시",852
"2019","4월","3시",791
"2019","4월","4시",764
"2019","4월","5시",762
"2019","4월","6시",788
"2019","4월","7시",903
"2019","4월","8시",1060
"2019","4월","9시",1061
"2019","4월","10시",1000
"2019","4월","11시",957
"2019","4월","12시",933
"2019","4월","13시",924
"2019","4월","14시",904
"2019","4월","15시",892
"2019","4월","16시",903
"2019","4월","17시",945
"2019","4월","18시",1045
"2019","4월","19시",1190
"2019","4월","20시",1318
"2019","4월","21시",1347
"2019","4월","22시",1331
"2019","4월","23시",1249
"2019","4월","24시",1116
"2019","5월","1시",966
"2019","5월","2시",845
"2019","5월","3시",780
"2019","5월","4시",749
"2019","5월","5시",744
"2019","5월","6시",772
"2019","5월","7시",886
"2019","5월","8시",1036
"2019","5월","9시",1052
"2019","5월","10시",1003
"2019","5월","11시",967
"2019","5월","12시",948
"2019","5월","13시",944
"2019","5월","14시",928
"2019","5월","15시",918
"2019","5월","16시",929
"2019","5월","17시",966
"2019","5월","18시",1050
"2019","5월","19시",1170
"2019","5월","20시",1288
"2019","5월","21시",1347
"2019","5월","22시",1337
"2019","5월","23시",1257
"2019","5월","24시",1118
"2019","6월","1시",954
"2019","6월","2시",836
"2019","6월","3시",767
"2019","6월","4시",730
"2019","6월","5시",719
"2019","6월","6시",744
"2019","6월","7시",846
"2019","6월","8시",992
"2019","6월","9시",1027
"2019","6월","10시",1001
"2019","6월","11시",982
"2019","6월","12시",970
"2019","6월","13시",973
"2019","6월","14시",960
"2019","6월","15시",953
"2019","6월","16시",964
"2019","6월","17시",1001
"2019","6월","18시",1080
"2019","6월","19시",1187
"2019","6월","20시",1277
"2019","6월","21시",1343
"2019","6월","22시",1333
"2019","6월","23시",1250
"2019","6월","24시",1110
"2019","7월","1시",945
"2019","7월","2시",816
"2019","7월","3시",741
"2019","7월","4시",700
"2019","7월","5시",683
"2019","7월","6시",697
"2019","7월","7시",788
"2019","7월","8시",928
"2019","7월","9시",977
"2019","7월","10시",969
"2019","7월","11시",967
"2019","7월","12시",973
"2019","7월","13시",992
"2019","7월","14시",994
"2019","7월","15시",991
"2019","7월","16시",1006
"2019","7월","17시",1043
"2019","7월","18시",1120
"2019","7월","19시",1227
"2019","7월","20시",1315
"2019","7월","21시",1370
"2019","7월","22시",1359
"2019","7월","23시",1275
"2019","7월","24시",1126
"2019","8월","1시",964
"2019","8월","2시",830
"2019","8월","3시",749
"2019","8월","4시",701
"2019","8월","5시",678
"2019","8월","6시",677
"2019","8월","7시",744
"2019","8월","8시",864
"2019","8월","9시",930
"2019","8월","10시",955
"2019","8월","11시",975
"2019","8월","12시",994
"2019","8월","13시",1024
"2019","8월","14시",1027
"2019","8월","15시",1020
"2019","8월","16시",1030
"2019","8월","17시",1064
"2019","8월","18시",1133
"2019","8월","19시",1231
"2019","8월","20시",1323
"2019","8월","21시",1361
"2019","8월","22시",1343
"2019","8월","23시",1263
"2019","8월","24시",1120
"2019","9월","1시",938
"2019","9월","2시",818
"2019","9월","3시",750
"2019","9월","4시",715
"2019","9월","5시",705
"2019","9월","6시",725
"2019","9월","7시",821
"2019","9월","8시",979
"2019","9월","9시",1016
"2019","9월","10시",993
"2019","9월","11시",979
"2019","9월","12시",974
"2019","9월","13시",982
"2019","9월","14시",974
"2019","9월","15시",968
"2019","9월","16시",981
"2019","9월","17시",1021
"2019","9월","18시",1112
"2019","9월","19시",1250
"2019","9월","20시",1338
"2019","9월","21시",1339
"2019","9월","22시",1311
"2019","9월","23시",1225
"2019","9월","24시",1087
"2019","10월","1시",949
"2019","10월","2시",834
"2019","10월","3시",772
"2019","10월","4시",742
"2019","10월","5시",738
"2019","10월","6시",766
"2019","10월","7시",864
